,method,sites,weight,minCR,MAE,lci,uci
1,gam,RFsites,CR,2,3.591019397,2.032583295,8.898773595
2,gam,RFsites,CR,4,2.985349621,1.294287044,6.421293594
9,gam,glmnet.5,CR,2,4.016799229,1.77478905,7.66626115
10,gam,glmnet.5,CR,4,3.32182594,1.264418469,7.55702105
3,gam,RFsites,inv.var,2,4.234264091,2.058738897,8.044583316
4,gam,RFsites,inv.var,4,4.002840686,1.191035584,7.95517637
11,gam,glmnet.5,inv.var,2,3.206991601,1.680904693,8.695373309
12,gam,glmnet.5,inv.var,4,4.520739324,2.253515051,8.509647067
5,gam,RFsites,none,2,3.293740131,2.038658387,6.549085249
6,gam,RFsites,none,4,2.774615019,1.560871731,7.633720905
13,gam,glmnet.5,none,2,3.21914577,1.417949287,7.246382277
14,gam,glmnet.5,none,4,4.533121731,1.758385054,8.608228912
7,gam,RFsites,sn.wt,2,3.44079695,1.888494655,6.898856148
8,gam,RFsites,sn.wt,4,2.5863971,1.470848764,6.921537057
15,gam,glmnet.5,sn.wt,2,4.226990819,1.850764559,8.170741076
16,gam,glmnet.5,sn.wt,4,4.494410287,1.416040292,8.452057162
17,glmnet,Allsites,CR,2,3.935489062,1.52679583,8.514247345
18,glmnet,Allsites,CR,4,4.583541164,2.289694449,8.651278745
25,glmnet,RFsites,CR,2,3.636347765,1.578755022,7.237657019
26,glmnet,RFsites,CR,4,3.953127424,1.918653588,7.616975309
33,glmnet,glmnet.5,CR,2,3.467500816,1.788492214,7.468206588
34,glmnet,glmnet.5,CR,4,4.179571409,1.675330671,8.546037282
19,glmnet,Allsites,inv.var,2,4.076367895,2.524500939,8.723216674
20,glmnet,Allsites,inv.var,4,3.879469469,2.113142094,9.063660386
27,glmnet,RFsites,inv.var,2,3.423019614,2.110696176,7.829632588
28,glmnet,RFsites,inv.var,4,4.006055818,1.739544159,6.640228348
35,glmnet,glmnet.5,inv.var,2,3.678087682,1.664445675,8.049370721
36,glmnet,glmnet.5,inv.var,4,3.512133904,1.579877603,8.017144284
21,glmnet,Allsites,none,2,3.824881523,1.680597423,8.283881545
22,glmnet,Allsites,none,4,3.709450509,2.335520242,8.121222212
29,glmnet,RFsites,none,2,3.782605375,1.868356366,7.039519374
30,glmnet,RFsites,none,4,3.43836875,2.049240863,7.214989894
37,glmnet,glmnet.5,none,2,3.575468673,1.660224599,7.003765171
38,glmnet,glmnet.5,none,4,3.313305699,1.766275549,8.254381787
23,glmnet,Allsites,sn.wt,2,4.138793813,1.533894204,8.5796785
24,glmnet,Allsites,sn.wt,4,3.917632617,2.173318722,7.737095881
31,glmnet,RFsites,sn.wt,2,3.485792119,1.527824411,7.363905231
32,glmnet,RFsites,sn.wt,4,3.902697361,2.181126394,8.798429427
39,glmnet,glmnet.5,sn.wt,2,3.460276912,1.87079475,7.909039107
40,glmnet,glmnet.5,sn.wt,4,4.030696449,1.58717174,9.802825486
41,rf,Allsites,CR,2,3.77867206,1.593867048,6.650313013
42,rf,Allsites,CR,4,4.02493292,1.974442135,6.374269975
49,rf,RFsites,CR,2,3.497608707,1.567600741,6.674763438
50,rf,RFsites,CR,4,4.061440627,1.627459095,6.890601189
57,rf,glmnet.5,CR,2,3.911668751,1.318120845,7.134659697
58,rf,glmnet.5,CR,4,4.442861734,2.018962953,7.907189684
43,rf,Allsites,inv.var,2,3.514953763,1.36376682,8.782544467
44,rf,Allsites,inv.var,4,4.262576441,1.533064553,7.013679031
51,rf,RFsites,inv.var,2,3.536761555,1.498058262,7.769099087
52,rf,RFsites,inv.var,4,4.175901372,1.774082817,6.555309827
59,rf,glmnet.5,inv.var,2,3.936974416,1.232405811,7.998822762
60,rf,glmnet.5,inv.var,4,4.251212657,2.06644541,8.309330159
45,rf,Allsites,none,2,3.70893328,1.715582041,6.810133134
46,rf,Allsites,none,4,4.212897041,2.024258837,6.6820026
53,rf,RFsites,none,2,3.72327246,1.555433267,6.925115537
54,rf,RFsites,none,4,4.328249842,1.565760557,6.94755481
61,rf,glmnet.5,none,2,4.012299342,1.327206666,7.260244712
62,rf,glmnet.5,none,4,4.134671278,1.396557494,8.011150167
47,rf,Allsites,sn.wt,2,3.660053197,1.694451642,6.525932155
48,rf,Allsites,sn.wt,4,3.906430215,1.85511904,6.549629839
55,rf,RFsites,sn.wt,2,3.434017727,1.328982749,6.52838196
56,rf,RFsites,sn.wt,4,4.137130719,1.58418557,6.71268441
63,rf,glmnet.5,sn.wt,2,3.836884268,1.431862785,7.071938071
64,rf,glmnet.5,sn.wt,4,4.487299329,2.01831823,7.9958599
65,svm,Allsites,none,2,3.931008351,1.873031732,6.307901402
66,svm,Allsites,none,4,3.015907915,1.820109425,5.901937336
67,svm,RFsites,none,2,3.528660576,1.298651363,5.568524842
68,svm,RFsites,none,4,2.608898559,1.045695218,5.934027452
69,svm,glmnet.5,none,2,3.279916173,1.570253966,6.944117071
70,svm,glmnet.5,none,4,3.029807874,1.348232948,6.679043761